Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Label
117664051,585,1,0,0,0,0,0,0,0,0,0,0,0,4.980280681,201135.1299,1245061.906,2.00E+07,0,1.16E+08,199374.2877,1245400.007,2.00E+07,0,0,0,0,0,0,0,0,0,0,0,0,4.971781908,0.008498772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,1,0,-1,-1,0,0,1.21E+07,7869322.442,2.32E+07,5118117,VPN
117438029,3,1,3166,415,1126,914,1055.333333,122.3982571,415,415,415,0,30.49267797,0.034060517,3.91E+07,3.73E+07,8.22E+07,1.64E+07,1.01E+08,5.05E+07,4.49E+07,8.22E+07,1.88E+07,0,0,0,0,0,0,0,0,0,24,8,0.025545388,0.008515129,415,1126,799.2,361.246038,130498.7,0,0,0,0,0,0,0,0,0,999,1055.333333,415,0,0,0,0,0,0,3,3166,1,415,-1,-1,3,0,0,0,0,0,VPN
93002312,7,9,105,159,35,0,15,18.70828693,35,0,17.66666667,16.80773631,2.838639108,0.172038734,6200154.133,1.28E+07,3.10E+07,63,9.30E+07,1.55E+07,1.69E+07,3.10E+07,33434,9.30E+07,1.16E+07,1.60E+07,3.10E+07,1895,0,1,0,0,224,288,0.075266946,0.096771788,0,35,17.58823529,17.15757421,294.3823529,0,0,0,1,1,0,0,0,1,18.6875,15,17.66666667,0,0,0,0,0,0,7,105,9,159,-1,267,3,0,33655,390.4625462,33915,33206,VPN
116430568,2,1,80,40,40,40,40,0,40,40,40,0,1.030657172,0.025766429,5.82E+07,3.99E+07,8.64E+07,3.00E+07,3.00E+07,3.00E+07,0,3.00E+07,3.00E+07,0,0,0,0,0,0,0,0,0,16,8,0.01717762,0.00858881,40,40,40,0,0,0,0,0,0,0,0,0,0,0,53.33333333,40,40,0,0,0,0,0,0,2,80,1,40,-1,-1,2,0,0,0,0,0,VPN
80691361,1,1,85,260,85,85,85,0,260,260,260,0,4.275550638,0.024785801,8.07E+07,0,8.07E+07,8.07E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.0123929,0.0123929,85,260,201.6666667,101.0362971,10208.33333,0,0,0,0,0,0,0,0,1,302.5,85,260,0,0,0,0,0,0,1,85,1,260,-1,-1,1,0,0,0,0,0,VPN
90235097,7,9,129,203,43,0,18.42857143,22.9844668,43,0,22.55555556,21.41909844,3.67927792,0.177314599,6015673.133,1.24E+07,3.00E+07,1,9.01E+07,1.50E+07,1.64E+07,3.00E+07,21333,9.02E+07,1.13E+07,1.55E+07,3.00E+07,1,0,1,0,0,224,288,0.077575137,0.099739462,0,43,22.05882353,21.4664581,460.8088235,0,0,0,1,1,0,0,0,1,23.4375,18.42857143,22.55555556,0,0,0,0,0,0,7,129,9,203,-1,270,3,0,64545,74260.71554,150293,21333,VPN
99963079,1,1,101,101,101,101,101,0,101,101,101,0,2.02074608,0.020007387,1.00E+08,0,1.00E+08,1.00E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.010003693,0.010003693,101,101,101,0,0,0,0,0,0,0,0,0,0,1,151.5,101,101,0,0,0,0,0,0,1,101,1,101,-1,-1,1,0,0,0,0,0,VPN
100764462,20,1,3348,160,197,160,167.4,15.18447961,160,160,160,0,34.81386126,0.208406809,5038223.1,1.15E+07,5.27E+07,204622,9.95E+07,5238756.789,1.18E+07,5.27E+07,204622,0,0,0,0,0,0,0,0,0,160,8,0.198482675,0.009924134,160,197,166.7272727,14.60652763,213.3506494,0,0,0,0,0,0,0,0,0,174.6666667,167.4,160,0,0,0,0,0,0,20,3348,1,160,-1,-1,20,0,1.41E+07,1.70E+07,2.61E+07,2046549,VPN
102488214,12,1,5084,326,841,88,423.6666667,283.8723571,326,326,326,0,52.78655749,0.126843853,8540684.5,1.34E+07,4.93E+07,900649,1.02E+08,9235233.182,1.39E+07,4.93E+07,1023186,0,0,0,0,0,0,0,0,0,96,8,0.117086634,0.009757219,88,841,409.7142857,263.5221283,69443.91209,0,0,0,0,0,0,0,0,0,441.2307692,423.6666667,326,0,0,0,0,0,0,12,5084,1,326,-1,-1,12,0,3167208.333,999812.4947,3972701,2048214,VPN
100138447,3,1,132,44,44,44,44,0,44,44,44,0,1.757566702,0.039944698,3.34E+07,5850695.868,4.01E+07,3.00E+07,6.00E+07,3.00E+07,174.655375,3.00E+07,3.00E+07,0,0,0,0,0,0,0,0,0,24,8,0.029958523,0.009986174,44,44,44,0,0,0,0,0,0,0,0,0,0,0,55,44,44,0,0,0,0,0,0,3,132,1,44,-1,-1,3,0,0,0,0,0,VPN
119970157,6,7,58,50,29,0,9.666666667,14.97553561,25,0,7.142857143,12.19875091,0.900223878,0.108360282,9997513.083,1.73E+07,4.50E+07,188,1.05E+08,2.10E+07,2.28E+07,4.51E+07,1034,7.50E+07,1.25E+07,1.75E+07,4.51E+07,98196,0,0,0,0,168,212,0.050012438,0.058347844,0,29,7.714285714,12.70631927,161.4505495,0,0,0,0,1,0,0,0,1,8.307692308,9.666666667,7.142857143,0,0,0,0,0,0,6,58,7,50,-1,69,2,0,102032.75,3766.218915,105907,98196,VPN
94873474,3,1,0,0,0,0,0,0,0,0,0,0,0,0.042161416,3.16E+07,1.65E+07,5.06E+07,2.11E+07,4.42E+07,2.21E+07,1467575.376,2.32E+07,2.11E+07,0,0,0,0,0,0,0,0,0,0,0,0.031621062,0.010540354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,VPN
88438,4,5,41,1665,41,0,10.25,20.5,1448,0,333,630.34673,19290.3503,101.7662091,11054.75,19289.34903,51268,3,36927,12309,20656.52568,36160,185,87677,21919.25,23557.91514,51268,3,0,0,0,0,128,184,45.22942626,56.53678283,0,1448,170.6,453.9249081,206047.8222,0,1,0,0,0,0,0,0,1,189.5555556,10.25,333,0,0,0,0,0,0,4,41,5,1665,-1,2058,1,0,0,0,0,0,VPN
2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,500000,500000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2058,0,0,0,0,0,0,VPN
104877292,42,1,12819,45,1303,45,305.2142857,397.8747527,45,45,45,0,122.6576293,0.410002959,2497078.381,3997015.163,2.33E+07,610,1.03E+08,2509194.024,4045888.556,2.33E+07,610,0,0,0,0,0,0,0,0,0,336,8,0.400468006,0.009534953,45,1303,293.3863636,392.3614978,153947.5449,0,0,0,0,0,0,0,0,0,300.2093023,305.2142857,45,0,0,0,0,0,0,42,12819,1,45,-1,-1,42,0,2.06E+07,2.59E+07,5.05E+07,4264521,VPN
40019407,20,1,2500,125,125,125,125,0,125,125,125,0,65.59317583,0.524745407,2000970.35,465.8234672,2001713,2000166,3.80E+07,2001012.684,437.2774421,2001713,2000286,0,0,0,0,0,0,0,0,0,160,8,0.49975753,0.024987877,125,125,125,0,0,0,0,0,0,0,0,0,0,0,130.952381,125,125,0,0,0,0,0,0,20,2500,1,125,-1,-1,20,0,0,0,0,0,VPN
41950935,14,1,3836,274,274,274,274,0,274,274,274,0,97.97159467,0.357560565,2996495.357,1567455.508,6007622,1601330,3.59E+07,2764870.231,1359398.818,5950874,1601330,0,0,0,0,0,0,0,0,0,112,8,0.333723194,0.023837371,274,274,274,0,0,0,0,0,0,0,0,0,0,0,292.2666667,274,274,0,0,0,0,0,0,14,3836,1,274,-1,-1,14,0,2.01E+07,0,2.01E+07,2.01E+07,VPN
41850442,18,1,6498,361,361,361,361,0,361,361,361,0,163.8931316,0.453997595,2325024.556,881083.8306,4250263,1281951,3.81E+07,2239155.118,826927.2454,4250263,1281951,0,0,0,0,0,0,0,0,0,144,8,0.430102984,0.02389461,361,361,361,0,0,0,0,0,0,0,0,0,0,0,380,361,361,0,0,0,0,0,0,18,6498,1,361,-1,-1,18,0,0,0,0,0,VPN
41888691,21,1,7749,369,369,369,369,0,369,369,369,0,193.799324,0.52520142,1994699.571,467456.9106,2958791,1241054,4.01E+07,2005057.45,477121.8146,2958791,1241054,0,0,0,0,0,0,0,0,0,168,8,0.501328628,0.023872792,369,369,369,0,0,0,0,0,0,0,0,0,0,0,385.7727273,369,369,0,0,0,0,0,0,21,7749,1,369,-1,-1,21,0,0,0,0,0,VPN
99776526,4,1,0,0,0,0,0,0,0,0,0,0,0,0.050111987,2.49E+07,5529597.209,3.32E+07,2.13E+07,7.74E+07,2.58E+07,6436336.141,3.32E+07,2.13E+07,0,0,0,0,0,0,0,0,0,0,0,0.04008959,0.010022397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0,0,0,0,VPN
60080653,1,4,11,22,11,11,11,0,11,0,5.5,6.350852961,0.549261673,0.083221466,1.50E+07,3.00E+07,6.01E+07,139,0,0,0,0,0,6.01E+07,2.00E+07,3.47E+07,6.01E+07,179,0,1,0,0,32,128,0.016644293,0.066577173,0,11,7.333333333,5.680375574,32.26666667,0,0,0,1,1,0,0,0,4,8.8,11,5.5,0,0,0,0,0,0,1,11,4,22,-1,2047,1,0,179,0,179,179,VPN
60012834,1,1,36,36,36,36,36,0,36,36,36,0,1.199743375,0.033326205,6.00E+07,0,6.00E+07,6.00E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.016663102,0.016663102,36,36,36,0,0,0,0,0,0,0,0,0,0,1,54,36,36,0,0,0,0,0,0,1,36,1,36,-1,-1,1,0,0,0,0,0,VPN
98409137,31,1,10308,230,780,136,332.516129,164.5616138,230,230,230,0,107.0835526,0.325173058,3174488.29,8314819.165,3.75E+07,2,9.80E+07,3266680.8,8440832.684,3.75E+07,2,0,0,0,0,0,0,0,0,0,248,8,0.3150114,0.010161658,136,780,326.3030303,161.2607525,26005.0303,0,0,0,0,0,0,0,0,0,336.5,332.516129,230,0,0,0,0,0,0,31,10308,1,230,-1,-1,31,0,5733777,1650812.207,7067988,3887650,VPN
99963078,1,1,78,78,78,78,78,0,78,78,78,0,1.560576196,0.020007387,1.00E+08,0,1.00E+08,1.00E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.010003694,0.010003694,78,78,78,0,0,0,0,0,0,0,0,0,0,1,117,78,78,0,0,0,0,0,0,1,78,1,78,-1,-1,1,0,0,0,0,0,VPN
99877246,1,3,495,1485,495,495,495,0,495,495,495,0,19.82433516,0.040049162,3.33E+07,5.77E+07,9.99E+07,3538,0,0,0,0,0,9.99E+07,4.99E+07,7.06E+07,9.99E+07,3538,0,0,0,0,8,24,0.01001229,0.030036871,495,495,495,0,0,0,0,0,0,0,0,0,0,3,618.75,495,495,0,0,0,0,0,0,1,495,3,1485,-1,-1,1,0,3538,0,3538,3538,VPN
44822383,6,1,0,0,0,0,0,0,0,0,0,0,0,0.156171973,7470397.167,1.33E+07,3.29E+07,11412,3.31E+07,6623067,1.47E+07,3.29E+07,11412,0,0,0,0,0,0,0,0,0,0,0,0.133861691,0.022310282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,-1,-1,0,0,129011,0,129011,129011,VPN
82534606,26,1,12874,87,1448,110,495.1538462,437.5453067,87,87,87,0,157.0371584,0.327135505,3174407.923,6370551.408,2.69E+07,1,7.69E+07,3076086.48,6481751.667,2.69E+07,1,0,0,0,0,0,0,0,0,0,208,8,0.315019375,0.01211613,87,1448,466,434.4229037,188723.2593,0,0,0,0,0,0,0,0,0,483.2592593,495.1538462,87,0,0,0,0,0,0,26,12874,1,87,-1,-1,26,0,2073911,3295840.371,6964445,102507,VPN
100453521,1,1,54,45,54,54,54,0,45,45,45,0,0.985530413,0.019909705,1.00E+08,0,1.00E+08,1.00E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.009954853,0.009954853,45,54,48,5.196152423,27,0,0,0,0,0,0,0,0,1,72,54,45,0,0,0,0,0,0,1,54,1,45,-1,-1,1,0,0,0,0,0,VPN
119841768,39400,6281,5.68E+07,667464,1452,80,1441.994518,113.5499707,1452,32,106.2671549,70.46831934,479649.5325,381.1776208,2623.506305,70173.40576,6740075,0,1.20E+08,3034.852839,79732.29278,6786697,0,1.20E+08,19083.08408,194521.1697,6897068,0,0,0,0,0,315200,50248,328.7668453,52.41077552,32,1452,1258.310232,472.6740741,223420.7804,0,0,0,0,0,0,0,0,0,1258.337777,1441.994518,106.2671549,0,0,0,0,0,0,39400,56814584,6281,667464,-1,-1,39400,0,3.91E+07,4.80E+07,7.30E+07,5220649,VPN
119195272,118,1,8850,75,75,75,75,0,75,75,75,0,74.87713103,0.998361747,1010129.424,95886.10463,1939548,916708,1.18E+08,1010883.47,95946.51325,1939548,916708,0,0,0,0,0,0,0,0,0,944,8,0.989972153,0.008389595,75,75,75,0,0,0,0,0,0,0,0,0,0,0,75.6302521,75,75,0,0,0,0,0,0,118,8850,1,75,-1,-1,118,0,0,0,0,0,VPN
99943950,353,1,0,0,0,0,0,0,0,0,0,0,0,3.541985283,283127.3371,1462330.636,1.67E+07,0,9.50E+07,269967.2955,1443327.457,1.67E+07,0,0,0,0,0,0,0,0,0,0,0,0,3.531979675,0.010005608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,1,0,-1,-1,0,0,1.08E+07,1.17E+07,2.72E+07,2050552,VPN
70346942,26,1,8612,202,657,121,331.2307692,127.6912864,202,202,202,0,125.2932928,0.383811993,2705651.615,6298904.522,2.70E+07,2,7.00E+07,2801609.16,6409367.662,2.70E+07,2,0,0,0,0,0,0,0,0,0,208,8,0.369596734,0.014215259,121,657,322,127.4597976,16246,0,0,0,0,0,0,0,0,0,333.9259259,331.2307692,202,0,0,0,0,0,0,26,8612,1,202,-1,-1,26,0,1.78E+07,0,1.78E+07,1.78E+07,VPN
105502773,2,1,830,415,415,415,415,0,415,415,415,0,11.8006377,0.028435272,5.28E+07,1.83E+07,6.57E+07,3.98E+07,6.57E+07,6.57E+07,0,6.57E+07,6.57E+07,0,0,0,0,0,0,0,0,0,16,8,0.018956848,0.009478424,415,415,415,0,0,0,0,0,0,0,0,0,0,0,553.3333333,415,415,0,0,0,0,0,0,2,830,1,415,-1,-1,2,0,0,0,0,0,VPN
105369866,2,1,0,0,0,0,0,0,0,0,0,0,0,0.028471138,5.27E+07,1.88E+07,6.59E+07,3.94E+07,6.59E+07,6.59E+07,0,6.59E+07,6.59E+07,0,0,0,0,0,0,0,0,0,0,0,0.018980759,0.009490379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,VPN
81201730,3,1,637,66,487,66,212.3333333,238.0385123,66,66,66,0,8.657451017,0.049260034,2.71E+07,2.46E+07,5.42E+07,6250321,2.70E+07,1.35E+07,1.03E+07,2.08E+07,6250321,0,0,0,0,0,0,0,0,0,24,8,0.036945026,0.012315009,66,487,153.8,186.4274658,34755.2,0,0,0,0,0,0,0,0,0,192.25,212.3333333,66,0,0,0,0,0,0,3,637,1,66,-1,-1,3,0,0,0,0,0,VPN
109018631,11,7,370,500,74,0,33.63636364,38.64523962,74,71,71.42857143,1.133893419,7.980287333,0.165109393,6412860.647,1.05E+07,2.93E+07,143,1.09E+08,1.09E+07,1.19E+07,2.93E+07,24392,1.09E+08,1.82E+07,9960157.81,2.93E+07,30956,0,1,0,0,352,224,0.100900185,0.064209208,0,74,49.68421053,34.70198943,1204.22807,0,0,0,1,1,0,0,0,0,52.44444444,33.63636364,71.42857143,0,0,0,0,0,0,11,370,7,500,-1,274,5,0,28261.4,3270.563606,31171,24697,VPN
93024048,7,9,105,159,35,0,15,18.70828693,35,0,17.66666667,16.80773631,2.837975832,0.171998535,6201603.2,1.28E+07,3.10E+07,3,9.30E+07,1.55E+07,1.69E+07,3.10E+07,38882,9.30E+07,1.16E+07,1.60E+07,3.10E+07,3,0,1,0,0,224,288,0.075249359,0.096749176,0,35,17.58823529,17.15757421,294.3823529,0,0,0,1,1,0,0,0,1,18.6875,15,17.66666667,0,0,0,0,0,0,7,105,9,159,-1,267,3,0,41316.33333,1968.873874,43494,39662,VPN
90113604,7,9,129,203,43,0,18.42857143,22.9844668,43,0,22.55555556,21.41909844,3.684238398,0.177553658,6007573.6,1.24E+07,3.00E+07,1,9.01E+07,1.50E+07,1.64E+07,3.00E+07,20005,9.01E+07,1.13E+07,1.55E+07,3.00E+07,1,0,1,0,0,224,288,0.077679725,0.099873932,0,43,22.05882353,21.4664581,460.8088235,0,0,0,1,1,0,0,0,1,23.4375,18.42857143,22.55555556,0,0,0,0,0,0,7,129,9,203,-1,270,3,0,24869.66667,4295.070702,28138,20005,VPN
61028582,1,1,85,85,85,85,85,0,85,85,85,0,2.785580042,0.03277153,6.10E+07,0,6.10E+07,6.10E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.016385765,0.016385765,85,85,85,0,0,0,0,0,0,0,0,0,0,1,127.5,85,85,0,0,0,0,0,0,1,85,1,85,-1,-1,1,0,0,0,0,0,VPN
116227171,9,1,1096,326,392,88,121.7777778,101.3333333,326,326,326,0,12.23466069,0.086038401,1.29E+07,2.38E+07,7.27E+07,511697,1.16E+08,1.45E+07,2.50E+07,7.27E+07,512400,0,0,0,0,0,0,0,0,0,72,8,0.077434561,0.00860384,88,392,158.9090909,122.6356021,15039.49091,0,0,0,0,0,0,0,0,0,174.8,121.7777778,326,0,0,0,0,0,0,9,1096,1,326,-1,-1,9,0,3003191,1713945.989,3993767,1024097,VPN
93350109,3,1,584,45,396,94,194.6666667,174.3597813,45,45,45,0,6.738074618,0.042849441,3.11E+07,3.18E+07,6.74E+07,8143350,8.52E+07,4.26E+07,3.51E+07,6.74E+07,1.78E+07,0,0,0,0,0,0,0,0,0,24,8,0.032137081,0.01071236,45,396,134.8,148.0564082,21920.7,0,0,0,0,0,0,0,0,0,168.5,194.6666667,45,0,0,0,0,0,0,3,584,1,45,-1,-1,3,0,0,0,0,0,VPN
99539339,7,1,1305,197,197,160,186.4285714,18.05415135,197,197,197,0,15.08951149,0.080370234,1.42E+07,1.66E+07,3.83E+07,921844,9.86E+07,1.64E+07,1.70E+07,3.83E+07,921844,0,0,0,0,0,0,0,0,0,56,8,0.070323955,0.010046279,160,197,188.7777778,16.31546642,266.1944444,0,0,0,0,0,0,0,0,0,212.375,186.4285714,197,0,0,0,0,0,0,7,1305,1,197,-1,-1,7,0,976260.5,67369.59858,1023898,928623,VPN
60080693,1,4,11,22,11,11,11,0,11,0,5.5,6.350852961,0.549261308,0.08322141,1.50E+07,3.00E+07,6.01E+07,171,0,0,0,0,0,6.01E+07,2.00E+07,3.47E+07,6.01E+07,218,0,1,0,0,32,128,0.016644282,0.066577128,0,11,7.333333333,5.680375574,32.26666667,0,0,0,1,1,0,0,0,4,8.8,11,5.5,0,0,0,0,0,0,1,11,4,22,-1,2047,1,0,218,0,218,218,VPN
88799637,2,1,88,44,44,44,44,0,44,44,44,0,1.486492563,0.033783922,4.44E+07,1.23E+07,5.31E+07,3.57E+07,3.57E+07,3.57E+07,0,3.57E+07,3.57E+07,0,0,0,0,0,0,0,0,0,16,8,0.022522615,0.011261307,44,44,44,0,0,0,0,0,0,0,0,0,0,0,58.66666667,44,44,0,0,0,0,0,0,2,88,1,44,-1,-1,2,0,0,0,0,0,VPN
60002380,1,1,36,36,36,36,36,0,36,36,36,0,1.199952402,0.033332011,6.00E+07,0,6.00E+07,6.00E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.016666006,0.016666006,36,36,36,0,0,0,0,0,0,0,0,0,0,1,54,36,36,0,0,0,0,0,0,1,36,1,36,-1,-1,1,0,0,0,0,0,VPN
103115397,4,1,160,40,40,40,40,0,40,40,40,0,1.939574553,0.048489364,2.58E+07,1.77E+07,4.00E+07,2,1.03E+08,3.44E+07,5137977.628,4.00E+07,3.00E+07,0,0,0,0,0,0,0,0,0,32,8,0.038791491,0.009697873,40,40,40,0,0,0,0,0,0,0,0,0,0,0,48,40,40,0,0,0,0,0,0,4,160,1,40,-1,-1,4,0,2,0,2,2,VPN
